ndb_no	shrt_desc	energy_kcal	nutval
14166	CARBONATED BEV,LO CAL,COLA OR PEPR,W/ NA SACC,CONTAINS CAFFN	0	NULL
14201	COFFEE,BREWED FROM GROUNDS,PREP W/ TAP H2O,DECAFFEINATED	0	NULL
14202	COFFEE,BREWED,ESPRESSO,REST-PREP,DECAFFEINATED	0	NULL
14121	CARBONATED BEV,CLUB SODA	0	NULL
14143	CARBONATED BEV,LO CAL,OTHER THAN COLA OR PEPPER,WO/ CAFFEINE	0	NULL
14151	CARB BEV,LO CAL,OTHR THN COLA OR PEPPER,W/ ASPRT,CONTNS CAFF	0	NULL
23999	BEEF,GROUND BF CALCULATOR - USER SELECTS LEAN/FAT PERCENTAGE	0	NULL
14384	WATER,BTLD,PERRIER	0	NULL
14385	WATER,BTLD,POLAND SPRING	0	NULL
14411	WATER,TAP,DRINKING	0	NULL
14412	WATER,TAP,WELL	0	NULL
14429	WATER,TAP,MUNICIPAL	0	NULL
14432	WATER,BTLD,NON-CARBONATED,DANNON	0	NULL
14433	WATER,BTLD,NON-CARBONATED,PEPSI,AQUAFINA	0	NULL
14434	WATER,BTLD,NON-CARBONATED,DASANI	0	NULL
14437	WATER,BTLD,NON-CARBONATED,CALISTOGA	0	NULL
14438	WATER,BTLD,NON-CARBONATED,CRYSTAL GEYSER	0	NULL
14537	CARBONATED BEV,LOCAL,OTHR THAN COLA OR PEP,W/ NA SAC,WO/ CAF	0	NULL
14439	WATER,BTLD,NON-CARBONATED,NAYA	0	NULL
14440	WATER,BTLD,NON-CARBONATED,DANNON FLUORIDE TO GO	0	NULL
14555	WATER,BTLD,GENERIC	0	NULL
14559	WATER,BTLD,NON-CARBONATED,EVIAN	0	NULL
18372	LEAVENING AGENTS,BAKING SODA	0	NULL
2047	SALT,TABLE	0	NULL
43497	JELLYFISH,DRIED,SALTED	0.0399113	-7.88985
19225	DESSERTS,RENNIN,TABLETS,UNSWTND	0.0931264	-3.96237
17189	VEAL,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,BRSD	0.150776	-3.85639
13318	BEEF,VAR MEATS&BY-PRODUCTS,BRAIN,RAW	0.158537	-3.12515
10097	PORK,FRSH,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,BRSD	0.152993	-3.03661
6076	SOUP,BEEF BROTH,CUBED,DRY	0.18847	-2.85328
10096	PORK,FRSH,VAR MEATS&BY-PRODUCTS,BRAIN,RAW	0.140798	-2.19551
6489	SOUP,CONSOMME W/ GELATIN,DRY,MIX,PREP W/ H2O	0.00776053	-2.01841
6979	ADOBO FRESCO	0.300443	-1.96457
6080	SOUP,CHICK BROTH OR BOUILLON,DRY	0.296009	-1.90321
6168	SAUCE,RTS,PEPPER OR HOT	0.0121951	-1.83797
6480	SOUP,CHICK BROTH OR BOUILLON,DRY,PREP W/ H2O	0.00443459	-1.73214
6615	CAMPBELL SOUP COMPANY,SWANSON BROTH,VEG BROTH	0.00554324	-1.72944
6081	SOUP,CHICK BROTH CUBES,DRY	0.219512	-1.59879
17186	LAMB,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,BRSD	0.160754	-1.48842
4590	FISH OIL,HERRING	1	-1.35478
4594	FISH OIL,SARDINE	1	-1.30672
4591	FISH OIL,MENHADEN	1	-1.26357
4593	FISH OIL,SALMON	1	-1.25165
4528	OIL,WALNUT	0.980044	-1.24906
4515	OIL,TOMATOSEED	0.980044	-1.20872
4058	OIL,SESAME,SALAD OR COOKING	0.980044	-1.20834
4530	OIL,APRICOT KERNEL	0.980044	-1.19246
4581	OIL,AVOCADO	0.980044	-1.18836
4516	OIL,TEASEED	0.980044	-1.18796
4514	OIL,POPPYSEED	0.980044	-1.18001
4546	SHORTENING BREAD,SOYBN (HYDR)&CTTNSD	0.980044	-1.1708
4559	SHORTENING HOUSEHOLD SOYBN (HYDR)&PALM	0.980044	-1.16997
4592	FISH OIL,MENHADEN,FULLY HYDR	1	-1.16129
4595	SHORTENING,MULTIPURPOSE,SOYBN (HYDR)&PALM (HYDR)	0.980044	-1.16077
4583	OIL,MUSTARD	0.980044	-1.1559
4653	OIL,INDUSTRIAL,SOY (PART HYDR ) & SOY,POURABLE FRY	0.980044	-1.15458
42231	OIL,FLAXSEED	0.980044	-1.14976
4034	OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED)	0.980044	-1.14762
4518	OIL,CORN,INDUSTRIAL & RTL,ALLPURP SALAD OR COOKING	0.980044	-1.14346
4649	SHORTENING,INDUS,SOY (PART HYDROG),POURABLE LIQ FRY	0.980044	-1.13977
4651	OIL,INDUSTRIAL,SOY (PART HYDR),FOR NON-DAIRY BUTTER FLAVOR	0.980044	-1.13811
4648	OIL,INDUSTRIAL,SOY (PART HYDR),FOR POPCORN & FLAVORING VEG	0.980044	-1.13744
4628	MARGARINE,80% FAT,STK,INCL REG & HYDR CORN & SOYBN OILS	0.7949	-1.13537
4549	SHORTENING INDUSTRIAL,LARD&VEG OIL	0.997783	-1.13315
4543	OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED) & CTTNSD	0.980044	-1.13236
4576	FAT,GOOSE	0.997783	-1.13158
4586	SHORTENING,SPL PURPOSE FOR CAKES&FROSTINGS,SOYBN (HYDR)	0.980044	-1.13154
43598	MAYONNAISE DRSNG,NO CHOL	0.762749	-1.13
4587	SHORTENING,SPL PURPOSE FOR BAKING,SOYBN (HYDR) PALM&CTTNSD	0.980044	-1.12974
4666	SHORTENING,INDUSTRIAL,SOY (PARTIALLY HYDR )&CORN FOR FRYING	0.980044	-1.12915
4536	OIL,SHEANUT	0.980044	-1.1253
4031	SHORTENING,HOUSEHOLD,PARTIALLY HYDROG SOYBN -COTTONSEED	0.980044	-1.11903
4541	OIL,CUPU ASSU	0.980044	-1.10788
4588	OIL,OAT	0.980044	-1.10363
4685	OIL,COOKING & SALAD,ENOVA,80% DIGLYCERIDES	0.980044	-1.10305
4655	MARGARINE-LIKE SHORTENING,INDUS,SOY(PART  HYDR),CTTNSD,& SOY	0.696231	-1.09859
4554	SHORTENING INDUSTRIAL,SOYBN (HYDR)&CTTNSD	0.980044	-1.09723
4548	SHORTENING CAKE MIX,SOYBN (HYDR)&CTTNSD (HYDR)	0.980044	-1.09669
13320	BEEF,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,SIMMRD	0.167406	-1.09662
44005	OIL,CORN,PEANUT,AND OLIVE	0.980044	-1.09613
4133	SALAD DRSNG,FRENCH,HOME RECIPE	0.699557	-1.09475
4042	OIL,PNUT,SALAD OR COOKING	0.980044	-1.09357
4582	OIL,CANOLA	0.980044	-1.09342
4667	SHORTENING,INDUS,SOY (PART HYDR ) FOR BAKING & CONFECTIONS	0.980044	-1.09306
42289	OIL,CORN AND CANOLA	0.980044	-1.09119
4047	OIL,COCNT	0.955654	-1.08946
4044	OIL,SOYBN,SALAD OR COOKING	0.980044	-1.0887
4652	OIL,INDUSTRIAL,SOY ( PART HYDROGENATED),ALLPURP	0.980044	-1.08821
4670	USDA CMDTY FD,OIL,VEG,LO SATURATED FAT	0.980044	-1.08679
4606	MEAT DRIPPINGS (LARD,BF TALLOW,MUTTON TALLOW)	0.985588	-1.08633
21311	MCDONALD'S,CREAMY RANCH SAU	0.518847	-1.08607
4609	ANIMAL FAT,BACON GREASE	0.994457	-1.08388
4544	SHORTENING,HOUSEHOLD,LARD&VEG OIL	0.997783	-1.08359
4560	SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%	0.980044	-1.08215
4650	OIL,INDUSTRIAL,SOY,REFINED,FOR WOKS & LT FRYING	0.980044	-1.07896
4664	OIL,INDUSTRIAL,SOY (PARTHYDR ),PALM, ICINGS & FILLINGS	0.980044	-1.07862
4669	USDA CMDTY FD,OIL,VEG,SOYBN,REFINED	0.980044	-1.07856
